title,text,date_stayed,offering_id,num_helpful_votes,review_id,rating,username
“A Nice Little Hotel at Reasonable Cost”,"My partner and I spent two nights at the Amsterdam Inn during a trip to the states in July. Most hotels in New York - at least those we checked on on the internet - are way overpriced. Only to be expected in a major city. We booked a ensuite queen room and were more than happy with the size and cleanliness of the room. Yes, it is basic however if you want five star luxury it comes at a greater cost! Given that we spent both days until late exploring the city the Inn suited our purposes just fine. 
The hotel is handy for Central Park and easy walking distance from a couple of subway stations. Also, no problem catching a cab - it is New York after all!
I've noted that a couple of other reviewers have mentioned that traffic noise and passersby disturbed them - what can I say? Yes, there is a bit of noise, but personally we just accepted that we were in the 'city that never sleeps', not the country, and put up with it. That said, our room was to the side and overlooked a building site where they started work pretty early although to be fair this isn't going to be a permanent state of affairs.
All in all, we enjoyed our stay. The staff were very friendly and helpful. True, there is no lift however we were offered help to carry our luggage upstairs if required. I can honestly say we didn't have any real complaints and would stay here again.",Jul-09,260396,12,36874730,4,Champersgirl
“Don't stay at this place!”,"Together with a collegue I spend two nights in this hotel.
To be honest: it was not comfortable. We had a room at the front side of
the hotel just above the pub that is situated at the ground floor. The
amount of noise was terrible. Shouting people, loud music and a lot of
traffic. Things were really worsened by the fact that the window in
which the air-co apparatus was placed, was not properly sealed.
Moreover, we were not allowed to changs rooms... Please take account of
this before making a reservation!",Jun-09,260396,1,32197560,1,Karel27
“I would stay here again”,"I stayed alone at Amsterdam Inn a whole week last April and could confirm the good reviews I had read here. My room was a single with full bathroom (toilet + shower). Although modest, as I already expected, it was comfortable enough for one person and this was a good surprise. The room was cleaned every day and the towells were changed also on a daily basis. It had a TV set with not many channels (ESPN, USA, TNT and Weather Channel were some of them), but enough to entertain and keep informed a tired guest at the end of a day in New York. 
I found Amsterdam Inn a very clean and quiet hotel. The corridors floors were usually shining and only once in while I would hear the voices or steps of another guests -- and the hotel was not empty. Just out of curiosity, I checked the toilets and showers outside the rooms and found them also clean. Some reviews here mentioned the stairs. In fact, climbing the stairs may be a little hard, especially if you are carrying heavy luggage. When you arrive at the address of Amsterdam Inn, you have to ring a bell. The recepcionist opens the front door remotely and then you have to climb a fairly steep flight of stairs. You get to the front desk and, depending on the number of your room, maybe you'll have to climb one or two more flights of stairs. The latter was my case: I stayed in the fourth floor. Was that a problem? Not at all. My luggage was realy heavy only when I checked out, as I had bought lots of books. By then, I had a little trouble to carry the suitcase, but it was something far from unattainable.
I have only compliments to the staff. They were attentive and helped me when I had to solve a problem back in my hometown, in Brazil. They were very patient too trying to understand me when I spoke my broken English. 
The hotel provides the guest every day a voucher, which entitles its holder to have a cup of coffee (or juice) and a bagel with white cheese or butter (or jelly? I forgot what the second option was) in a coffe shop one block away. I found this great, since I´m not used to really have a breakfast. Usually, I have only a cup of coffee in the morning. So, it was a great deal for me to have for free a cup of coffee and a bagel, which was very tasty, by the way. Those vouchers saved me some precious dollars.
The Amsterdam Inn location is great. It´s a few blocks away from some city atractions, like Central Park, American Museum of Natural History, Lincoln Center, Riverside Park etc. There are at least two subway stations nearby. It´s also a great neighborhood, with good and cheap places to eat, like Artie's, at Broadway (where you can also find Zarbar´s), good bookshops and beautiful residencial buildings. For those people who really like to walk, like myself, the hotel is at a walking distance from some other interesting places, like Columbus Circle (where you find a Whole Foods store), Apple Store and so on. I found the neighborhood quite safe. Many times I returned to the hotel late at night and saw nothing suspicious. 
Finally, I paid an average rate of US$ 109 per night. It was my first time in New York. I loved the city and I am highly satisfied with Amsterdam Inn. 
PS.: Two more informations that may be useful for another travellers.
From JFK Airport to Amsterdam Inn, I got a van from SuperShuttle. The trip costed US$ 21 (US$ 19 + US$ 2 driver´s tip). It took a little longer than a cab would, I guess (one hour and 15 minutes, it was raining and the traffic was heavy), but I have no complaints. I was the second passenger to be dropped off at the hotel. When I left New York, I flew to Orlando early in the morning. To avoid any problems, I hired a private car with driver from a transportation service recommended by the Amsterdam Inn front desk. I paid US$ 40 from the hotel to La Guardia Airport. The trip took about 30 minutes.",Apr-09,260396,2,30479561,4,osvaldoRiodeJaneiro
"“Great Place, The Amsterdam Inn”","I stayed at the Amsterdam Inn during the easter day weekend. I booked a clean bed with a private bathroom. I got it at a great price of $109.00 plus tax. I was very pleased with the cleansliness of the hotel. My room was serviced daily. The staff was very helpful and pleasent. The stairs could be a stretch but it's typical for N.Y.C. The location is amazing, you can't beat it, you're two blocks away from central park and one block away from Broadway. The area is very active day and night , which made me feel more comfortable coming and going. I would recommend the Amsterdam Inn to anyone who want's to pay a cheap price for a good value.",Apr-09,260396,0,28330612,5,nishacutie24
“Be Careful”,"I stayed at this hotel on my return visit to NY. In hindsight I should have stayed with the hotel I used outbound. 
Firstly there are no safes in the rooms and the staff are lightfingered. I had $1,000 worth of camera equipment taken from a closed suitcase. They request you leave your key with reception when you go out, somthing the NYPD told me not to do. When I approached reception about the missing items, the single person on reception didn't even respond, simply picked up the phone and spoke in another language. When he put the phone down he told me there was nothing he could do and that I should leave a statement. I told him I was contacting the police, he then shrugged his shoulders and told me there was nothing they could do. The manager had left, and when I asked the receptionist to raise her on the phone, she told me the housekeeping staff had left for the day and there was nothing she could do. I then called the police who took a statement and recommended I find a better hotel to stay in. What made me angry was that the staff seemed disinterested. Given that the person needed time to go through my suitcase, and my room was two doors from reception, it was obviously (as the police confirmed) an inside job. 
I had previously stayed at the Buckingham hotel and would suggest that as a better alternative.",Apr-09,260396,0,27389416,1,Lisal61
“Good value”,"I stayed in a queen room with bathroom. No complaints. Staff consistently friendly and helpful. Initial impression very poor: the entrance is swathed in scaffolding. One is buzzed into a dingy, smelly vestibule with a narrow, wooden staircase going up one storey. I thought ""Oh no!"" But, upon ascending the stairs I was pleasantly surprised. A building across the road is being torn down but I did not find the noise level a problem. About ten blocks to Lincoln Centre and four blocks to Zabar's. The Inn should drop their price a bit and skip the ""free breakfast"" which consists in coffee or juice and a bagel, served in a decidedly downmarket shop about a block away. Unfortunately, they don't have safety deposit boxes or valuables check. One has to buy in to a wireless initernet service.",Feb-09,260396,11,25728894,3,RonTSmithers_B_C_
“Cheap and Cheerful”,"My husband and I booked into the Amsterdam Inn as he was taking part in the New York Marathon. This hotel was choosen for its location to the finish of the marathon. We found the hotel in a very pleasant quiet residual area, very close to all the sights. We both enjoyed our stay at this hotel - the room cleaned daily and fresh towels whenever needed. At the end of the day you dont go to New York to spent all day in a hotel room and the price is important and the voucher for breakfast an added bonus. A lift would have been welcome.",Oct-08,260396,3,21622011,4,MarykateBelfast
"“Great choice in NYC, the Amsterdam Inn”","My boyfriend and I booked a week at the Amsterdam Inn early September this year. After reviewing other hotels in NYC that one seemed like a good choice for the value. We booked a double bedroom with bathroom share.
At arrival, the guy at the reception was very nice. The room was not big but just the good size and very clean. You have TV, two big mirrors and a sink. The toilets/ bathroom on the same floor were also very clean. They remained clean for the rest of the week, which shows that the cleaners were doing a great job all day long.And you never have to wait to go to the loo or the shower room.Our bed was done everyday and the towels changed daily as well. The hotel informed us before booking that some building work was currently taking place and it would start at 7am.
To be honest, yes there was noise, but that didnt stop us from sleeping properly, even until 10am one morning.
The hotel location is ideal. The upper west side is very calm and a nice neighbourhood. Three subway stops are available around the hotel within 10 min walk. The area offers a great choice of restaurants and diners for the breakfast. And the icing on the cake, there is a pub below the hotel where you can go back in the evening to have a nice diner for a reasonable price rather than wondering where to eat in this huge town.
At the reception, the guys were always smiling and ready to help.
So really, i would defenitely recommend this hotel to anyone who is looking to spend some time discovering NYC, and doesnt want to spend hundreds in a hotel where you will only a few hours per day, but dont want to end up in a nasty B&B either!
Go on their website to have a look, they also have two other hotels situated downtown!",Sep-08,260396,30,20393958,4,nefertitiLondon
“Loved the more-than-adequate Amsterdam Inn”,"Fellow reviewers, you misled me. From the previous reviews, we were wondering if we'd made a mistake by booking with no research, but the price was great ($109/night on a weekend, booked the day of), and I have fond memories of hostel-hopping at many like places in Europe. From the complaints ranging from dirty rooms to rude staff, my expectations were low. We were so pleasantly surprised that I feel like I should give five stars! The staff was delightful and helpful, the room was completely clean, the bathroom was newly renovated with tile everywhere, there was a clean and sparkly sink in our room (which was 310, a full with shared bath), the sheets were clean and smelled good, and lo and behold, we had air conditioning, contrary to several reviews. We even had a TV! If you're the type who would rather spend money on a great restaurant than on a hotel room where you'll spend 8 hours, tops, then this is a good option. Be flexible about the stairs and imagine that you have an ideally located studio apartment in the greatest city in the country. If the Hyatt is more your speed and you tend to find lots to complain about, try another hotel. 
Not all rooms have the free breakfast voucher, so ask upon booking. The deposit is a refundable $10.",Aug-08,260396,1,19560190,4,kgw1538
“Pay the extra money & go somewhere else!!!!”,"My partner and I stayed at the Amsterdam Inn for 3 nights in May 2008. We paid $130 per night (including tax) for a Double Room with Shared facilties. This was the cheapest accommodation in New York we could find. As soon as we got there we wished we had payed the extra $20 and gone somewhere else. The only good thing about this place is the location. It is centrally located, near transport & only a couple blocks away from Central Park. The room was tiny & not overly clean. The room had a tiny bed, a tiny rack to hang your clothes on, a small basin & a chest of drawers. It was stuffy but we couldn't open the tiny window because right next to our room was a massive construction site that continued to be noisy every morning from 6am to 7pm. There were 2 toilets & 2 showers on our floor, one of which was so small you couldn't even sit down properly because the door would hit your knees. It was also not the cleanest. Breakfast was not included & there was no Internet. The stairs were steep & the staff at reception are rude. They were too busy talking on the phone to serve. If you want to store your bags, there is no safely locked room, you just have to put it behind the front desk with the staff. We would not stay here again, nor would we recommend this place to anyone. You will be better off paying an extra $20 a night & going somewhere else.",May-08,260396,21,19321047,1,ClareandMichaelPerth
“OK if your on a tight budget”,"We stayed at the Amsterdam Inn for one night, we chose it because it was the cheapest we could find for that night and all the other hotels were very expensive. The main problem with this hotel is that there is no lift, we had to carry our two large cases up three flights of very steep stairs, but we did get some help from a member of staff. 
The hotel room was generally clean as was the shared bathroom. The room was very very small and it was a struggle to open our suitcase because of the lack of space. Overall the hotel was fine for us as we only stayed for one night and were looking for some where cheap.",Jun-08,260396,0,19022770,3,jenc_6
“Don't stay here unless you really can't find somewhere else”,"Admittedly this hotel is on the cheap side for New York, but I wish we had forked out a bit more. It adjoins a large building site and the noise was inescapeable, add the clanking of the ancient (but very necessary) air conditioning and it was impossible to sleep. Breakfast was supposedly included, but it amounted to a voucher for a dirty bagel bar just up the road, that gave you a bagel and a drink with nowhere decent to sit and eat it.",Jul-08,260396,0,18777972,1,USAtraveller_8
“The Amsterdam Inn gets our vote!”,"We spent 4 nights at the Amsterdam Inn in July. This was our first trip to NYC, and not wanting to pay the price of most hotels, I relied on Tripadvisor and other travel sites to research other options. I was looking for basic, clean, with private bathroom facilites.
The Amsterdam Inn met these and more. I must point out, we were on the first floor, in a ""deluxe queen"", so I can't speak for the upper floors (no elevator, and some shared bathrooms). We were very satisfied, and paid from $100 to $200 less per day than the average New York hotel rate. Restaurants are numerous, many are inexpensive, the subway staion is 3 blocks away, the buses run on Amsterdam Ave., it is 2 blocks to Central Park. The staff was friendly and helpful. Negatives: the one window looked out onto the construction of a new building and eventually will look at the wall, and also the bed sheets were thin.
We travel quite a bit, and normally stay in chain hotels like Quality Inn, Holiday Inn Express, etc. This was very comparable, and I recommend the Amsterdam to anyone not demanding luxury.",Jul-08,260396,3,18386839,3,the_sd_dane
“Only for those on a VERY tight budget!”,"Stayed at the Amsterdam for 3 nights. Although it was not a disaster, I would not stay here again. It is for those on a very limited budget only. It has no charm or warmth. Because of the construction the corner is dusty and noisy. The actual construction noise was not that bad in the morning, although our room did not face the site. There are a lot of stairs and carrying your luggage can be a problem. (Although they did ask if we needed help when we checked in.) The check in desk is located one flight up from the street. The staff, although not nasty, are not very welcoming or friendly. The room was very tiny. There is the bed, sink, and dresser. Even an extra chair would have been nice, although I guess it wouldn't fit. The bed barely accomodated my husband and me and we are not very large people. It was not easy to sleep as the bed was pushed up against the wall. If you are tall or need extra room, forget it. The carpet was worn and didn't seem too clean. Be sure to bring flip-flops! To me, a smell permeated the room like air freshener covering up old smoke. The shower/bathroom was down the hall and smelled of bleach so I guess it was clean. We have stayed at The Bellclaire which is in the same neighborhood and also has shared bath rooms. I would definitely pay the extra to stay there or try another hotel next time.",Jul-08,260396,22,18143311,2,kmjohnson
“A nothing special hotel”,"Stayed in The Amsterdam Inn for a week. Eventually we got used to the noise of the contractors next door who have been building a condo for the last year.
The accommodation is very basic but with good TV stations and decent showering facilities.
The staff were friendly but woke us up several times wanting to clean the room.
I think I would wait until the work had been finished before I stayed again",May-08,260396,1,16511765,2,AnnieTring
“Pay the extra and go somewhere else.”,"This hotel sounded great - a boutique hotel, European feel - well forget it! I did not feel safe here, it felt like a half-way house. I skeeved everything! If you know what skeeved means you won't want to stay here. To top it off my credit card info was stolen and this is the only place I used that credit card. Not worth it.",Feb-07,260396,5,16444815,1,mammymoo
“Mixed feelings about this place...”,"It is with mixed feeling that I have to give this place a negative review overall.
My son and I travelled to the USA in April of 2008 (holiday of a lifetime so far for me) starting in LA then to SF across to Boston then down to Martha's Vineyard and finishing in NYC at the Amsterdam before heading back home to Australia. This hotel was the worst we stayed at during our 3 weeks. But I need to qualify a few things.
NEGATIVES:
There is massive construction still taking place next door and it will continue for some time. Construction work starts exactly at 7.00am however, the workers turn up much earlier and start making a LOT of noise. The Amsterdam is literally about 3 feet away from the construction. It is very, very noisy during the week because of this. Trust me on this!!! But, to be fair, there is construction taking place all over NYC.
Rooms are very small and the sheets and blankets are thin. No elevator, tables, chairs, air-conditioning or coffee making facilities.
No elevators at all so you must haul your luggage up at least one fight of steep stairs
POSSITIVES:
Location. Everything and I mean everything is just a few blocks away. Subway, diner, grocery store, laundromat, tons of other places to eat, Central Park, bar, museum, Broadway, drug-store and on and on and on.
Bathroom was very clean and the cleaning staff were efficient and approachable.
I found all the staff friendly and helpful. If you have had negative experiences, then maybe it was your approach.
CONCLUSION: I would not stay here again UNTIL the construction work is finished. This is a very noisy place currently. Then again, you do not travel to NYC for peace and quiet. If you are not spending much time in your room (and who wants to?) then this place is okay. All the above aside we had a fantastic time in NYC and I would do it again tomorrow if I could.",Mar-08,260396,9,15737865,3,Mebollocks
“Not Bad for the Price”,"Stayed there one night, in the cheapest room in the place. The hotel is exceedingly clean for what you'd expect from a budget hotel. Being in the cheapest room, I had had to share bathrooms, which were plentiful and also very clean. The TV worked fine, with about 20 cable channels. Now, there is one drawback, and is one that will abate eventually: There is a construction project adjacent to the hotel, and the workers start moving about at 6:30 a.m. They don't start the banging of hammers until 7 a.m., so until the building project is completed, this will be a problem for late sleepers.",Apr-08,260396,1,14738913,3,deanyc
"“Nightmare, but ADVENTURE”","My friend and I didn't know what to expect when we went to the Amsterdam Inn. If it's your first time in New York, you won't care about the hotel because you'll be so excited and so busy. But when we got there, we had to hike up the dangerously steep steps, get our key and hike another 4 floors. Once we got up there we noticed there were public washrooms and bathrooms. We paniced but once we got into our TINY room, we realized we had a bathroom of our own. We had one bed, with cigarette holes etc... in the sheets. We thought we were getting two double beds but we only got the one with a huge dip in the middle. The room was super small. No extra pillows, just the one that they gave us, so when we asked the front desk they gave us an extra blanket. But honestly it was an adventure and an experience. It wasn't unbearable, just humorus. The location is pretty awesome though. You can get to central park, just down the road or hop on broadway and walk anywhere!!!",Mar-07,260396,1,14502311,2,canadian_birss
“Decent accomodation for the price”,"The Amsterdam Inn is a great bargain for people looking to stay on the Upper West Side. The rooms are tiny, but comfortable. This is a great place for people who come to NYC to experience the city and only need a place to sleep after a long day of being out and about. The hotel looks a little sketchy from the outside, but the inside is pretty clean and well lit. My only complaint is that we could only get scalding water out of our shower. We were only there for 1 night so it was no big deal, but it was a little annoying.",Feb-08,260396,15,13361649,3,aggupta
“Clean and Quirky”,"The Amsterdam Inn has all the character of its upper-West-Side neighborhood and the location, near the Natural History museum, is ideal for exploring Central Park. Subway access is within two blocks, making all of Manhattan easily accessible. The rooms are reasonably sized for a budget hotel and everything was very clean. 
But there are a few shortcomings: 1. There is no control over the heat and when it comes on you'll be throwing the windows open, even in the middle of February. This brings us to . . . 2. The street outside and the bar downstairs can be very noisy 'til late at night 3. There is no air conditioning in the rooms. 4. There is no elevator and the stairs are very narrow. 5. Staff professionalism is inconsistent - some of the folks at the Amsterdam Inn are very helpful and friendly, others seem rather moody and aloof, or don't follow up when they say they will. 
Still, if you're on a tight budget, it's not easy to find a better bargain in New York City than the Amsterdam.",Feb-07,260396,7,13341628,2,Phaed0
“Beware: Building Site Next Door”,"This hotel was such a disappointment. 
The Amsterdam Inn is part of a boutique(?) group called NYInns which have 3 small hotels throughout Manhattan, one in Murray Hill, one in Union Square and this one on Amsterdam Avenue. 
I had been to NYC in February 06 and stayed at the Murray Hill Inn, which at that time, I found to be a great low budget option. So naturally, when I returned to NYC in November 07, I decided to stay in Murray Hill Inn again which also proved to be a big dissappointment (see my Murray Hill Inn review). I briefly left NYC and returned to stay at the Amsterdam Inn as the Murray Hill was booked out (all bookings in November for both hotels were done in advance being too late notice to change hotels without incurring huge cost).
To my horror - the hotel is currently balancing precariously on the edge of a massive construction site next door. I suggested to the receptionist that there should be a warning on the website about the fact that there is a construction site next door, to which he responded, ""there is!"". I said, ""there isn't, otherwise I wouldn't have booked!"". As of today (31st December 2007) there still isn't! There is however, an A4 sheet paper sign at reception advising guests of the construction site. Gee whiz, how considerate.
As the property was constantly overheated (about 85F (30C)) due to the archaic Manhattan steam heating system, we needed to crack a window open in order to bring the temperature down to a more livable level - rather than the desert-like conditions we were experiencing in the room. Lucky for us (sarcasm), we were on the side of the building next to the building site. So there was no need for an alarm clock and bang on 7am the construction workers started hammering away. I had anticipated this, and requested a change of room the night before to which I was told they were booked out and there was nothing available. To add insult to injury, the sheets were so worn that they were practically transparent, the bed squeeked when ever you made the slightest movement (same problem at Murray Hill Inn) and the showers barely broke the luke warm barrier. All in all, one of the worst hotel experiences to date.
I understand it is not the hotel's problem that there is a construction site next door, however I do expect that they have a responsibility to inform their potential guests when they are making a booking. I suspect their reason for not doing this is the loss of business, however they could offer cheaper rates to encourage people to stay. 
Anyway, on complaining to the hotel in writing they offered me a reduction from the $173 I paid for the privlidge to stay in the hotel to $99. What a joke. I won't ever stay in this hotel again, nor any of the other NYC Inns. They really need to take a look at themselves. Despite the fact they position themselves as budget botique hotel - this should mean compromising basic amenities such as hot water, sheets in good condition, a quiet bed and some degree of climate control.
I would strongly suggest people consider staying elsewhere - at the very least for the time being.
Max",Nov-07,260396,11,12138095,1,max1978
“A New York City Bargain”,"This is not a hotel for everyone. However, if you have a sense of adventure and are looking for basic accommodations, the Amsterdam Inn may be for you. My wife and I stayed here for the 2007 New York City Marathon (November 1-4). We were pleasantly surprised. The hotel’s location at 76th Street and Amsterdam Avenue is very central for midtown activities and also only two blocks from where the Marathon ends. We found the Amsterdam Inn to be secure, with a buzzer at the entrance and also at the second floor landing. An attendant is at the reception desk 24/7. The room was clean and the bed comfortable. Breakfast is included (at a coffee shop a block away). High speed internet is available (at extra cost). There is no elevator and yes, the stairs are steep. For New York City, the room rate cannot be beat ($159 weekdays, $179 weekend days). We enjoyed our stay and will return.",Nov-07,260396,30,10632430,4,DoctorPaul
“Good for the price”,"The Amsterdam was a pleasant surprise. It is very clean. The staff very helpful and will assist with luggage. I had a full bed with shared bath and the room was average sized.The bathroom was large and clean; in addition there was a separate small shower and toilet on the same floor. The only incident I had was with other occupants not cleaning up after themselves. When you share communal space it is common courtesy to try and clean up or at least tell the staff what needs cleaning. Otherwise the location is perfect, i rode the bus all the way down to Macy's in 25minutes. Just ask the staff how to get where you want to go.",Oct-07,260396,5,10358856,3,seasurf
